Tissue	State	Gene	Function	MutFreq	LossFreq	GainFreq	NoMutLoss	MutLoss	NoMutWT	MutWT	NoMutGain	MutGain
Breast	Metastasis	RHOA	OG	0.0105263157894737	0.240191387559809	0.0708133971291866	252	1	710	12	75	1
Breast	Metastasis	SF3B1	OG	0.0133971291866029	0.105263157894737	0.0277511961722488	110	2	894	14	30	1
Breast	Metastasis	FOXA1	DFG	0.0373205741626794	0.100478468899522	0.105263157894737	104	3	797	35	108	4
Breast	Metastasis	GATA3	DFG	0.132057416267943	0.0660287081339713	0.134928229665072	64	7	718	119	128	15
Core-GI	Primary	AMER1	TSG	0.0423370025402202	0.112334180073384	0.0883432119672594	387	13	2707	127	302	13
Core-GI	Primary	APC	TSG	0.510019757267852	0.137736381597516	0.0245554614733277	223	267	1453	1517	63	26
Core-GI	Primary	ARID1A	TSG	0.0914479254868755	0.242449901213661	0.0141123341800734	819	42	2358	278	45	7
Core-GI	Primary	ASXL1	TSG	0.0169348010160881	0.00366920688681908	0.474456675134067	14	1	1805	46	1667	16
Core-GI	Primary	ATM	TSG	0.0412080158058143	0.102455546147333	0.0191927744848998	353	12	2979	135	68	2
Core-GI	Primary	ATRX	TSG	0.0121366073948631	0.0753598645215919	0.100197572678521	267	2	2882	41	354	3
Core-GI	Primary	B2M	TSG	0.0347163420829805	0.193621224950607	0.0220152413209145	671	17	2673	108	79	1
Core-GI	Primary	BCOR	TSG	0.0180637877504939	0.0767710979395992	0.103584532881739	270	4	2846	60	366	3
Core-GI	Primary	BLM	TSG	0.0143945808636749	0.147050522156365	0.0623765170759244	522	1	2753	50	220	3
Core-GI	Primary	BRCA2	TSG	0.0282246683601468	0.0276601749929438	0.316680779000847	98	2	2244	81	1104	20
Core-GI	Primary	CDKN2A	TSG	0.0299181484617556	0.163703076488851	0.0460062094270392	551	31	2729	73	160	5
Core-GI	Primary	EP300	TSG	0.0172170476996895	0.167936776742873	0.013265594129269	593	4	2844	59	48	1
Core-GI	Primary	FAT1	TSG	0.0197572678521027	0.221845893310754	0.0121366073948631	783	5	2649	67	44	1
Core-GI	Primary	FBXW7	TSG	0.102737792830934	0.206604572396274	0.0149590742308778	697	37	2432	328	53	2
Core-GI	Primary	FLCN	TSG	0.0169348010160881	0.203499858876658	0.0112898673440587	719	4	2726	58	41	1
Core-GI	Primary	KDM6A	TSG	0.0110076206604572	0.086931978549252	0.108382726502964	305	5	2817	36	385	1
Core-GI	Primary	KMT2C	TSG	0.030200395145357	0.034998588766582	0.140558848433531	124	2	2827	96	488	12
Core-GI	Primary	MSH3	TSG	0.0330228619813717	0.141123341800734	0.0206040079029071	499	3	2856	116	74	1
Core-GI	Primary	NBN	TSG	0.0107253739768558	0.0177815410668925	0.239062941010443	64	1	2600	35	844	5
Core-GI	Primary	NCOR1	TSG	0.0166525543324866	0.300310471351962	0.0146768275472763	1059	7	2375	54	53	1
Core-GI	Primary	PIK3R1	TSG	0.0344340953993791	0.143099068585944	0.0206040079029071	493	16	2859	106	72	3
Core-GI	Primary	PTPRS	TSG	0.0177815410668925	0.102173299463731	0.0471351961614451	360	4	2956	60	167	2
Core-GI	Primary	PTPRT	TSG	0.0183460344340954	0.00451594693762348	0.464578041208016	17	1	1837	46	1627	21
Core-GI	Primary	RASA1	TSG	0.0112898673440587	0.149872988992379	0.0214507479537115	524	9	2905	33	77	1
Core-GI	Primary	RB1	TSG	0.0160880609652837	0.0397967823878069	0.304261924922382	133	10	2282	44	1074	6
Core-GI	Primary	SMAD2	TSG	0.0248377081569292	0.426192492238216	0.00987863392605137	1483	29	1940	60	35	2
Core-GI	Primary	SMAD3	TSG	0.017499294383291	0.164549816539656	0.0194750211685013	575	10	2840	53	69	2
Core-GI	Primary	SMAD4	TSG	0.0951171323736946	0.427885972339825	0.00987863392605137	1307	211	1867	127	35	2
Core-GI	Primary	SPEN	TSG	0.0115721140276602	0.192492238216201	0.0200395145357042	683	1	2750	42	72	1
Core-GI	Primary	TET2	TSG	0.0118543607112616	0.216765453005927	0.00931414055884843	769	1	2701	43	34	1
Core-GI	Primary	TGFBR2	TSG	0.0251199548405306	0.159187129551228	0.0220152413209145	549	17	2832	71	76	4
Core-GI	Primary	TP53	TSG	0.637877504939317	0.298616991250353	0.0146768275472763	159	901	1103	1332	24	30
Core-GI	Primary	TP53BP1	TSG	0.0138300874964719	0.176121930567316	0.0135478408128704	622	4	2826	47	49	1
Core-GI	Primary	AKT1	OG	0.0118543607112616	0.184871577758961	0.0285069150437482	654	3	2750	39	100	3
Core-GI	Primary	BRAF	OG	0.0725373976855772	0.0296359017781541	0.141405588484335	104	3	2715	224	470	33
Core-GI	Primary	GNAS	OG	0.0248377081569292	0.00705616709003669	0.46740050804403	26	1	1783	81	1649	9
Core-GI	Primary	KIT	OG	0.0561670900366921	0.193621224950607	0.0220152413209145	677	11	2620	161	50	30
Core-GI	Primary	NRAS	OG	0.0279424216765453	0.143663561953147	0.0118543607112616	500	11	2906	88	41	3
Core-GI	Primary	TERT	OG	0.012701100762066	0.0572960767710979	0.125317527519052	204	1	2853	45	444	2
Core-GI	Primary	JAK1	DFG	0.0158058142816822	0.147050522156365	0.0135478408128704	518	5	2924	52	48	2
Core-GI	Metastasis	AMER1	TSG	0.0353679406731318	0.132915002852253	0.103822019395322	231	4	1297	43	166	18
Core-GI	Metastasis	APC	TSG	0.521391899600685	0.161437535653166	0.0501996577296064	106	179	667	717	69	21
Core-GI	Metastasis	ARID1A	TSG	0.0587564175698802	0.351968054763263	0.0136908157444381	592	27	1037	77	24	2
Core-GI	Metastasis	ASXL1	TSG	0.0154021677124929	0.00342270393610953	0.507701083856246	7	1	846	13	876	16
Core-GI	Metastasis	ATM	TSG	0.0262407301768397	0.135767256132345	0.0405019965772961	231	9	1409	37	70	3
Core-GI	Metastasis	BCOR	TSG	0.0131203650884199	0.118083285795779	0.106103822019395	208	1	1338	24	187	1
Core-GI	Metastasis	BRCA2	TSG	0.0119794637763833	0.0656018254420993	0.364517969195665	115	2	986	15	634	7
Core-GI	Metastasis	CDH1	TSG	0.0114090131203651	0.0810039931545921	0.138049058756418	140	4	1354	17	242	2
Core-GI	Metastasis	CDKN2A	TSG	0.0154021677124929	0.213348545350827	0.0827153451226469	366	10	1218	18	145	2
Core-GI	Metastasis	CREBBP	TSG	0.0108385624643468	0.0758699372504278	0.136908157444381	134	1	1365	17	238	4
